"releaseStage","operationId","summary","apiDocsUrl","method","path","pathParams","requestBodyParams","responseParams","tags","pythonOperation","oauthScopes"
"GA","getAdministeredIdentitiesMe","Returns the identity of the current user.","https://developer.cisco.com/meraki/api-v1/get-administered-identities-me/","get","/administered/identities/me","","","api, authentication, created, email, enabled, key, lastUsedDashboardAt, mode, name, saml, twoFactor","administered, monitor, identities, me","administered.getAdministeredIdentitiesMe",""
"GA","getAdministeredIdentitiesMeApiKeys","List the non-sensitive metadata associated with the API keys that belong to the user","https://developer.cisco.com/meraki/api-v1/get-administered-identities-me-api-keys/","get","/administered/identities/me/api/keys","","","createdAt, suffix","administered, configure, identities, me, api, keys","administered.getAdministeredIdentitiesMeApiKeys",""
"GA","generateAdministeredIdentitiesMeApiKeys","Generates an API key for an identity","https://developer.cisco.com/meraki/api-v1/generate-administered-identities-me-api-keys/","post","/administered/identities/me/api/keys/generate","","","key","administered, configure, identities, me, api, keys","administered.generateAdministeredIdentitiesMeApiKeys",""
"GA","revokeAdministeredIdentitiesMeApiKeys","Revokes an identity's API key, using the last four characters of the key","https://developer.cisco.com/meraki/api-v1/revoke-administered-identities-me-api-keys/","post","/administered/identities/me/api/keys/{suffix}/revoke","suffix","","","administered, configure, identities, me, api, keys","administered.revokeAdministeredIdentitiesMeApiKeys",""
"GA","getAdministeredLicensingSubscriptionEntitlements","Retrieve the list of purchasable entitlements","https://developer.cisco.com/meraki/api-v1/get-administered-licensing-subscription-entitlements/","get","/administered/licensing/subscription/entitlements","skus","","featureTier, isAddOn, isFree, name, productClass, productType, sku","licensing, configure, subscription, entitlements","licensing.getAdministeredLicensingSubscriptionEntitlements",""
"GA","batchAdministeredLicensingSubscriptionNetworksFeatureTiersUpdate","Batch change networks to their desired feature tier for specified product types","https://developer.cisco.com/meraki/api-v1/batch-administered-licensing-subscription-networks-feature-tiers-update/","post","/administered/licensing/subscription/networks/featureTiers/batchUpdate","","featureTier, id, isAtomic, items, network, productType, productTypes","error, errors, featureTier, id, items, network, productType, productTypes","licensing, configure, subscription, featureTiers","licensing.batchAdministeredLicensingSubscriptionNetworksFeatureTiersUpdate",""
"GA","getAdministeredLicensingSubscriptionSubscriptions","List available subscriptions","https://developer.cisco.com/meraki/api-v1/get-administered-licensing-subscription-subscriptions/","get","/administered/licensing/subscription/subscriptions","perPage, startingAfter, endingBefore, subscriptionIds, organizationIds, statuses, productTypes, skus, name, startDate, endDate","","account, assigned, available, counts, description, domain, endDate, enterpriseAgreement, entitlements, id, lastUpdatedAt, limit, name, networks, organizations, productTypes, renewalRequested, seats, sku, smartAccount, startDate, status, subscriptionId, suites, type, webOrderId","licensing, configure, subscription, subscriptions","licensing.getAdministeredLicensingSubscriptionSubscriptions",""
"GA","claimAdministeredLicensingSubscriptionSubscriptions","Claim a subscription into an organization.","https://developer.cisco.com/meraki/api-v1/claim-administered-licensing-subscription-subscriptions/","post","/administered/licensing/subscription/subscriptions/claim","validate","claimKey, description, name, organizationId","account, assigned, available, counts, description, domain, endDate, enterpriseAgreement, entitlements, id, lastUpdatedAt, limit, name, networks, organizations, productTypes, renewalRequested, seats, sku, smartAccount, startDate, status, subscriptionId, suites, type, webOrderId","licensing, configure, subscription, subscriptions","licensing.claimAdministeredLicensingSubscriptionSubscriptions",""
"GA","validateAdministeredLicensingSubscriptionSubscriptionsClaimKey","Find a subscription by claim key","https://developer.cisco.com/meraki/api-v1/validate-administered-licensing-subscription-subscriptions-claim-key/","post","/administered/licensing/subscription/subscriptions/claimKey/validate","","claimKey","account, assigned, available, counts, description, domain, endDate, enterpriseAgreement, entitlements, id, lastUpdatedAt, limit, name, networks, organizations, productTypes, renewalRequested, seats, sku, smartAccount, startDate, status, subscriptionId, suites, type, webOrderId","licensing, configure, subscription, subscriptions, claimKey","licensing.validateAdministeredLicensingSubscriptionSubscriptionsClaimKey",""
"GA","getAdministeredLicensingSubscriptionSubscriptionsComplianceStatuses","Get compliance status for requested subscriptions","https://developer.cisco.com/meraki/api-v1/get-administered-licensing-subscription-subscriptions-compliance-statuses/","get","/administered/licensing/subscription/subscriptions/compliance/statuses","organizationIds, subscriptionIds","","byProductClass, entitlements, gracePeriodEndsAt, id, missing, name, productClass, quantity, sku, status, subscription, violations","licensing, configure, subscription, subscriptions, compliance, statuses","licensing.getAdministeredLicensingSubscriptionSubscriptionsComplianceStatuses",""
